Platform,WorkLoad,SubWorkLoad,SubWorkLoadScenario,Description,Action_Type,action_gesture,module_name,module_type,action_outcome,panel_type,action_scenario,action_scenario_type,action_subWorkLoad,thread_type,databag.rsvp,module_summary,target_thread_type,databag.meeting_rsvp,databag.is_toggle_on,databag.community_rsvp,main_entity_type,main_slot_app,eventInfo.identifier,databag.action_type,subNav_entity_type
Android,Collab action,Meeting,Community event - Add a community event to calendar,"Click on the event option in community, click on the scheduled event, then click on add to calendar option to capture this scenario",Primary,touch,Calendar add button,pushbutton,send,Complete meeting information page,syncWithDeviceCalendar,scheduleEntry,,meeting information,,Schedules meeting on calendar,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Add a community event to calendar,"Go to the community event details via calendar or chat or inside calendar events tab, Click on ""Add to Calendar"" to add the community event to calendar",Primary,touch,Calendar add button,pushbutton,send,Complete session details,syncWithDeviceCalendar,scheduleEntry,,meeting information,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Cancel a community event,"Navigate to community, then click on events, then click on edit a shceduled event, then cancel event to capture this scenario",Primary,touch,Cancel session menu option, option,send,,terminateMeeting,scheduleEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Cancel a community event,"Navigate to community, then click on events, then click on edit a shceduled event, then cancel event to capture this scenario",Secondary,automated,API workflow,planner,,Event calendar,restfulApiCall,restfulService,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Cancel a community event,"Go to the community event details via calendar or chat or inside calendar events tab, Click on ""Cancel Event"" to cancel a community event",Primary,touch,Cancel event option,pushbutton,navigation,Complete session details,terminateMeetingession,scheduleEntry,,meeting information,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Cancel a community event,"Go to the community event details via calendar or chat or inside calendar events tab, Click on ""Cancel Event"" to cancel a community event",Secondary,,List entry,,,Upcoming Meeting list,dragToReload,reload,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Cancel a community event,"Go to the community event details via calendar or chat or inside calendar events tab, Click on ""Cancel Event"" to cancel a community event",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Cancel a community event,"Go to the community event details via calendar or chat or inside calendar events tab, Click on ""Cancel Event"" to cancel a community event",Secondary,,List entry,,,Upcoming Meeting list,dragToReload,reload,,,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Cancel a community event,"In the community tab,click on the event and followed by edit option then cancel",Primary, press,,,,Events loaded in communities,,,,,,,,,,,Group Events,Group App,Click,,Group Event
Maglev,Collab Action,Meeting,Community event - Cancel a community event,"In the community tab,click on the event and followed by edit option then cancel and click cancel in dioalog box",Secondary, press,,,,Delete event confirmation,,,,,,,,,,,Group Events,Group App,Click,,Group Event
Web,Collab Action,Meeting,Community event - Cancel a community event,"go to the calendar tab, select the scheduled community event meeting, click on the edit button, and then choose the option to cancel the meeting",Primary, press,Abort session button,pushbutton,send,,cancelCalendarEvent,meetingCalendarEntry,,,,,,,,,Booking Form,Planner App,Cancel meeting,,
Web,Collab Action,Meeting,Community event - Cancel a community event,"To cancel a community event, go to the calendar tab, select the scheduled meeting, click on the edit button, and then choose the option to cancel the meeting",Secondary, press,Dismiss session,pushbutton,send,,exitEditSchedulingForm,closeMeetingDetails,,,,,,,,,Booking Form,Planner App,Dismiss meeting edit mode,,
Web,Collab Action,Meeting,Community event - Click on invite link,"In the One on One chat,Click the invite link which is shared",Primary, press,Join session button,,attend meeting,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Web,Collab Action,Meeting,Community event - Click on invite link,"In the One on One chat,Click the invite link which is shared",Secondary, access,Direct link service,link,unlock,Internal operation,directLink,directLink,,conference,,,Conference,,,,,,Open deep link,,
Web,Collab Action,Meeting,Community event - Click on invite link,"In the One on One chat,Click the invite link which is shared",Secondary,automatic,Intent handling service,goal,unlock,,directLink,directLink,,conference,,,Conference,,,,,,Auto deep link intent,,
Android,Collab action,Meeting,Community event - Create a community event," Navigate to a community, then click on events option, then click on plus button, schedule an event and click on checkmark button to capture this scenario",Primary,touch,Save new session button,pushbutton,send,Schedule a new event,storeNewMeeting,scheduleEntry,,stream,,Sets up meeting successfully,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Create a community event,"Click on the ""Home tab"" which is nothing but community tab, Click on one of the community where you want to schedule a meeting, Click on the ""Events"" tab inside a community, Click on ""Create Event"", Enter the details and click on ""Done"" to create a community event",Primary,touch,Save new session button,pushbutton,send,Schedule a new event,storeNewMeeting,scheduleEntry,,stream,,Sets up meeting successfully,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Create a community event,"In the community tab,click on events",Secondary, press,Virtual events management,pushbutton,display,No events available,createVirtualEvent,,,,,,,,,,Group Events,Group App,Create virtual consumer event,,Group Event
Maglev,Collab Action,Meeting,Community event - Create a community event,"In the community tab,click on Create event",Primary, press,,,,Create event dialog,,,,,,,,,,,Group Events,Group App,Click,,Group Event
Maglev,Collab Action,Meeting,Community event - Create a community event,"In the community tab,click on send to create event in community",Secondary,send,Virtual events management,,send,Create event dialog,createVirtualEvent,createVirtualEvent,,,,,,,,,Group Events,Group App,Submit virtual consumer event creation,,Group Event
Maglev,Collab Action,Meeting,Community event - Create a community event,"In the community tab,click on send to create event in community",Secondary, press,,,,Share event dialog,,,,,,,,,,,Group Events,Group App,Click,,Group Event
Web,Collab Action,Meeting,Community event - Create a community event,"In the community tab,click on send to create event in community",Primary, press,Plan session button,pushbutton,send,,createCalendarEvent,createOrUpdateMeeting,,,,,,,,,Event Creation,Group App,Create new meeting,,
IOS,Collab Action,Meeting,Community event - Create a community event through calendar,"Go to ""Calendar"" tab, Click on the ""+"" icon, select ""Community event"", enter the details and click on ""Done"" to create a community event",Primary,touch,Save new session button,pushbutton,send,Schedule a new event,storeNewMeeting,scheduleEntry,,stream,,Sets up meeting successfully,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Create a community event through calendar,"Go to ""Calendar"" tab, Click on the ""+"" icon, select ""Community event"", enter the details and click on ""Done"" to create a community event",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Edit a community event,"Go to the community event details via calendar or chat or post or through event page in community, Click on the pencil button at the top right cornor to edit the community meeting and click on ""Done""",Primary,touch,Save edited session,pushbutton,send,Modify event details,updateMeeting,schedule,,,,Modifies meeting,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Edit a community event,"Go to the community event details via calendar or chat or post or through event page in community, Click on the pencil button at the top right cornor to edit the community meeting and click on ""Done""",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Edit a community event,"In the community tab,click on the event that needs to edit by clicking edit option",Primary, press,Plan session button,pushbutton,send,,refreshCalendarEvent,createOrUpdateMeeting,,,,,,,,,Booking Form,Planner App,Update meeting schedule,,
Web,Collab Action,Meeting,Community event - Edit a community event,"In the community tab,click on the event that needs to edit by clicking edit option",Secondary,,Plan session button,pushbutton,send,,refreshCalendarEvent,createOrUpdateMeeting,,,,,,,,,Event Creation,Group App,Update meeting schedule,,
Web,Collab Action,Meeting,Community event - Edit a community event,"In the community tab,click on the event that needs to edit by clicking edit option",Primary,,Dismiss session,pushbutton,send,,exitEditSchedulingForm,closeMeetingDetails,,,,,,,,,Event Creation,Group App,Dismiss meeting edit mode,,
Android,Collab action,Meeting,Community event - Join a community event through activity,"After clicking the join button for a community event through activity feature, click the join now button to capture this scenario",Primary,touch,Lobby hold page,pushbutton,navigation,Lobby hold area,waitingInLobby,entryToLobby,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through activity,"After clicking the join button for a community event through activity feature, click the join now button to capture this scenario",Secondary,touch,Lobby hold page,pushbutton,navigation,Lobby hold area,waitingInLobby,entryToLobby,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through activity,"After clicking the join button for a community event through activity feature, click the join now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,connectViaDialIn,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through activity,"After clicking the join button for a community event through activity feature, click the join now button to capture this scenario",Secondary,touch,Lobby hold page,pushbutton,navigation,Lobby hold area,waitingInLobby,entryToLobby,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through activity,"After clicking the join button for a community event through activity feature, click the join now button to capture this scenario",Secondary,,Join session from lobby,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through activity,"After clicking the join button for a community event through activity feature, click the join now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,immediateJoinMeeting,instantMeet,,group,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Join a community event through activity,"In the activity tab,click on the join button in the event listed in the page ",Primary, press,Join session button,,join meeting with computer sound,Pre-meeting setup screen,connectFromPreJoinScreen,preSession,,conference,,,Conference,,,,Conversations,Conversations,Join meeting pre-join screen,,
Web,Collab Action,Meeting,Community event - Join a community event through activity," Join the community meet by clicking the activity tab, it will navigate the page to join the event by clicking join",Secondary, press,Mute audio control, sound contro,choose,Ubar interface,muteCallAudio,callOrMeetup,TurnOffSound,conference,,,Conference,,,,Conversations,Conversations,Mute audio,,
Web,Collab Action,Meeting,Community event - Join a community event through activity," Join the community meet by clicking the activity tab, it will navigate the page to join the event by clicking join",Secondary, press,Join session button,,attend meeting,Pre-meeting setup screen,connectFromPreJoinScreen,preSession,,conference,,,Conference,,,,Conversations,Conversations,Join meeting pre-join screen,,
Web,Collab Action,Meeting,Community event - Join a community event through activity,"In the activity tab,click on the join button in the event listed in the page ",Primary, press,Join session button,,attend meeting,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Web,Collab Action,Meeting,Community event - Join a community event through activity,"In the activity tab,click on the join button in the event listed in the page ",Secondary, press,Join session button,pushbutton,send,Primary schedule,enterMainSession,meetingCalendarGrid,,,,,,,,,Group Events,Group App,Join main meeting,ParticipateOnline,Task
Android,Collab action,Meeting,Community event - Join a community event through calendar,"After clicking the Join button for a community event through the calendar feature, click the Join Now button to capture this scenario",Primary,touch,Lobby view,pushbutton,navigation,Lobby hold area,waitingInLobby,enterLobby,,,,,,,,,,,,,
